ds,y
01.01.2021,3607
05.01.2021,3605
06.01.2021,3618
08.01.2021,3639
09.01.2021,3653
12.01.2021,3671
13.01.2021,3701
14.01.2021,3718
15.01.2021,3729
16.01.2021,3723
19.01.2021,3725
20.01.2021,3727
21.01.2021,3726
22.01.2021,3704
23.01.2021,3692
26.01.2021,3677
27.01.2021,3683
28.01.2021,3691
29.01.2021,3694
30.01.2021,3699
02.02.2021,3703
03.02.2021,3716
04.02.2021,3733
05.02.2021,3741
06.02.2021,3773
09.02.2021,3791
10.02.2021,3816
11.02.2021,3823
12.02.2021,3838
13.02.2021,3840
16.02.2021,3865
17.02.2021,3871
18.02.2021,3892
19.02.2021,3909
20.02.2021,3914
23.02.2021,3926
24.02.2021,3931
25.02.2021,3953
26.02.2021,3967
27.02.2021,3969
02.03.2021,3964
03.03.2021,3951
04.03.2021,3942
05.03.2021,3959
06.03.2021,4008
09.03.2021,4065
10.03.2021,4081
11.03.2021,4064
12.03.2021,4067
13.03.2021,4074
16.03.2021,4079
17.03.2021,4074
18.03.2021,4052
19.03.2021,4024
20.03.2021,4000
23.03.2021,3981
24.03.2021,3968
25.03.2021,3976
26.03.2021,3961
27.03.2021,3994
30.03.2021,3999
31.03.2021,4034
01.04.2021,4029
02.04.2021,4020
07.04.2021,4012
08.04.2021,3989
09.04.2021,3980
10.04.2021,3968
13.04.2021,3971
14.04.2021,3961
15.04.2021,3981
16.04.2021,3997
17.04.2021,4012
20.04.2021,4001
21.04.2021,3975
22.04.2021,3984
23.04.2021,3978
24.04.2021,3978
27.04.2021,3971
28.04.2021,3980
29.04.2021,3994
30.04.2021,4010
01.05.2021,4017
05.05.2021,4043
06.05.2021,4069
07.05.2021,4081
08.05.2021,4090
11.05.2021,4089
12.05.2021,4096
13.05.2021,4108
14.05.2021,4095
15.05.2021,4100
18.05.2021,4107
19.05.2021,4109
20.05.2021,4041
21.05.2021,4046
22.05.2021,4032
25.05.2021,4049
26.05.2021,4049
27.05.2021,4061
28.05.2021,4067
29.05.2021,4079
02.06.2021,4095
03.06.2021,4113
08.06.2021,4146
09.06.2021,4148
10.06.2021,4145
11.06.2021,4155
12.06.2021,4164
15.06.2021,4177
16.06.2021,4186
17.06.2021,4206
18.06.2021,4219
19.06.2021,4226
22.06.2021,4232
23.06.2021,4249
24.06.2021,4259
25.06.2021,4264
26.06.2021,4263
29.06.2021,4256
30.06.2021,4255
01.07.2021,4253
02.07.2021,4273
03.07.2021,4298
06.07.2021,4319
07.07.2021,4305
08.07.2021,4272
09.07.2021,4253
10.07.2021,4270
13.07.2021,4289
14.07.2021,4307
15.07.2021,4317
16.07.2021,4317
17.07.2021,4310
20.07.2021,4257
21.07.2021,4224
22.07.2021,4213
23.07.2021,4243
24.07.2021,4279
27.07.2021,4297
28.07.2021,4311
29.07.2021,4315
30.07.2021,4315
31.07.2021,4324
03.08.2021,4309
04.08.2021,4283
05.08.2021,4250
06.08.2021,4234
07.08.2021,4234
10.08.2021,4200
11.08.2021,4233
12.08.2021,4241
13.08.2021,4251
14.08.2021,4273
17.08.2021,4263
18.08.2021,4255
19.08.2021,4251
20.08.2021,4214
21.08.2021,4187
24.08.2021,4220
25.08.2021,4236
26.08.2021,4252
27.08.2021,4278
28.08.2021,4309
01.09.2021,4317
02.09.2021,4291
03.09.2021,4320
04.09.2021,4323
07.09.2021,4320
08.09.2021,4310
09.09.2021,4308
10.09.2021,4312
11.09.2021,4318
14.09.2021,4327
15.09.2021,4343
16.09.2021,4367
17.09.2021,4395
18.09.2021,4423
21.09.2021,4448
22.09.2021,4467
23.09.2021,4495
24.09.2021,4526
25.09.2021,4563
28.09.2021,4612
29.09.2021,4645
30.09.2021,4691
01.10.2021,4717
02.10.2021,4697
05.10.2021,4730
06.10.2021,4783
07.10.2021,4833
08.10.2021,4831
09.10.2021,4862
12.10.2021,4924
13.10.2021,4928
14.10.2021,4908
15.10.2021,4912
16.10.2021,4935
19.10.2021,4949
20.10.2021,4938
21.10.2021,4956
22.10.2021,4939
23.10.2021,4967
26.10.2021,5003
27.10.2021,5010
28.10.2021,4996
29.10.2021,4984
30.10.2021,4976
03.11.2021,4982
04.11.2021,4954
05.11.2021,4946
06.11.2021,4960
09.11.2021,4956
10.11.2021,4965
11.11.2021,4982
13.11.2021,4963
16.11.2021,4901
17.11.2021,4918
18.11.2021,4895
19.11.2021,4891
20.11.2021,4835
23.11.2021,4885
24.11.2021,4907
25.11.2021,4927
26.11.2021,4941
27.11.2021,4814
30.11.2021,4786
01.12.2021,4743
02.12.2021,4727
03.12.2021,4656
04.12.2021,4650
07.12.2021,4649
08.12.2021,4703
09.12.2021,4771
10.12.2021,4775
11.12.2021,4761
14.12.2021,4760
15.12.2021,4757
16.12.2021,4746
17.12.2021,4746
18.12.2021,4741
20.12.2021,4661
21.12.2021,4563
22.12.2021,4549
23.12.2021,4548
24.12.2021,4554
30.12.2021,4565
01.01.2022,4473
05.01.2022,4470
06.01.2022,4482
08.01.2022,4496
11.01.2022,4498
12.01.2022,4511
13.01.2022,4520
14.01.2022,4527
15.01.2022,4543
18.01.2022,4550
19.01.2022,4558
20.01.2022,4602
21.01.2022,4640
22.01.2022,4632
25.01.2022,4616
26.01.2022,4662
27.01.2022,4751
28.01.2022,4753
29.01.2022,4799
01.02.2022,4807
02.02.2022,4793
03.02.2022,4790
04.02.2022,4791
05.02.2022,4844
08.02.2022,4867
09.02.2022,4834
10.02.2022,4832
11.02.2022,4868
12.02.2022,4917
15.02.2022,5018
16.02.2022,4955
17.02.2022,4948
18.02.2022,4928
19.02.2022,4927
22.02.2022,4937
23.02.2022,4977
24.02.2022,4982
25.02.2022,5302
26.02.2022,5238
